,date,average
1,2020-07-01,81.56144130450379
2,2020-08-01,79.18722816594419
3,2020-09-01,70.05032047027946
4,2020-10-01,56.26610410504813
5,2020-11-01,40.9085135674132
6,2020-12-01,29.596453131955414
7,2021-01-01,26.757495952928533
8,2021-02-01,32.39547390934057
9,2021-03-01,45.754923903866384
10,2021-04-01,59.03865514319458
11,2021-05-01,70.63924182437245
12,2021-06-01,77.6543059202951
13,2021-07-01,81.07201877006946
14,2021-08-01,78.89053157628655
15,2021-09-01,69.87045775428047
16,2021-10-01,56.15706814799899
17,2021-11-01,40.84241404332013
18,2021-12-01,29.55638243231125
19,2022-01-01,26.733204386657768
20,2022-02-01,32.38074793257632
